0112660741,Matematicas,10.00,10.00,10.00,10.00,10.00,10.00,Aprobado
0112660741,Historia,10.00,8.00,9.00,10.00,8.00,8.70,Aprobado
0111331133,Geografia,10.00,9.50,9.20,9.80,10.00,9.64,Aprobado
0112330202,Biologia,4.00,6.50,5.00,2.00,8.00,5.80,Reposicion
0111331133,Biologia,2.00,3.50,4.40,5.90,6.00,4.61,Reprobado
0112660741,Biologia,8.00,9.00,5.00,6.00,9.00,7.40,Aprobado
0113654253,Sociologia,10.00,10.00,10.00,10.00,10.00,10.00,Aprobado
0123456789,Fisica,7.00,5.00,6.00,8.80,9.10,7.11,Aprobado
0144445555,Historia,8.00,8.00,9.00,10.00,9.00,8.80,Aprobado
0112341234,Historia,8.00,9.00,7.00,8.00,10.00,8.50,Aprobado
0112341234,Matematica,10.00,8.00,9.00,10.00,10.00,9.30,Aprobado
0112341234,Sociales,8.00,7.00,9.00,9.00,9.00,8.50,Aprobado
